Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,201912,Coll_Principal,70,70,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,70,70,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,71,71,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,71,71,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,72,72,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,72,72,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,73,73,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,73,73,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,74,74,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,74,74,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,75,75,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,75,75,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,76,76,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,76,76,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,77,77,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,77,77,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,78,78,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,78,78,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,79,79,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,79,79,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,80,80,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,80,80,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Principal,81,81,Manual,0.0,,PQ exact rate
NON PRIME,201912,Coll_Interest,81,81,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Principal,70,70,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,70,70,Manual,-0.0040507218,,PQ exact rate
NRP-S,201912,Coll_Principal,71,71,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,71,71,Manual,-0.0036414961,,PQ exact rate
NRP-S,201912,Coll_Principal,72,72,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,72,72,Manual,-0.0032548464,,PQ exact rate
NRP-S,201912,Coll_Principal,73,73,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,73,73,Manual,-0.0028893329,,PQ exact rate
NRP-S,201912,Coll_Principal,74,74,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,74,74,Manual,-0.0025436243,,PQ exact rate
NRP-S,201912,Coll_Principal,75,75,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,75,75,Manual,-0.0022164881,,PQ exact rate
NRP-S,201912,Coll_Principal,76,76,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,76,76,Manual,-0.0019067825,,PQ exact rate
NRP-S,201912,Coll_Principal,77,77,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,77,77,Manual,-0.0016134482,,PQ exact rate
NRP-S,201912,Coll_Principal,78,78,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,78,78,Manual,-0.0013355018,,PQ exact rate
NRP-S,201912,Coll_Principal,79,79,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,79,79,Manual,-0.0010720294,,PQ exact rate
NRP-S,201912,Coll_Principal,80,80,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,80,80,Manual,-0.0008221808,,PQ exact rate
NRP-S,201912,Coll_Principal,81,81,Manual,0.0,,PQ exact rate
NRP-S,201912,Coll_Interest,81,81,Manual,-0.0005851647,,PQ exact rate
NON PRIME,202001,Coll_Principal,69,69,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,69,69,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,70,70,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,70,70,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,71,71,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,71,71,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,72,72,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,72,72,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,73,73,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,73,73,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,74,74,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,74,74,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,75,75,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,75,75,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,76,76,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,76,76,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,77,77,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,77,77,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,78,78,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,78,78,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,79,79,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,79,79,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Principal,80,80,Manual,0.0,,PQ exact rate
NON PRIME,202001,Coll_Interest,80,80,Manual,0.0,,PQ exact rate
NRP-S,202001,Coll_Principal,69,69,Manual,0.0,,PQ exact rate
NRP-S,202001,Coll_Interest,69,69,Manual,0.0,,PQ exact rate
